tag,seed,epoch,train_loss,stop_loss,stop_auc,stop_bal_acc_0.5,stop_acc_0.5,lr
cv_fold1,42,1,0.6896794736385345,0.7097727656364441,0.5288589056103328,0.49825783972125437,0.4028169014084507,0.0005
cv_fold1,42,2,0.6814304664731026,0.7409934997558594,0.5022199158161794,0.4973847002907719,0.4084507042253521,0.0005
cv_fold1,42,3,0.669958159327507,0.7946019470691681,0.48384280195385543,0.48860388299931634,0.4253521126760563,0.0005
cv_fold1,42,4,0.6521561294794083,0.8363860547542572,0.4477640217131653,0.4312320326850685,0.39436619718309857,0.00025
cv_fold1,42,5,0.6363778933882713,0.881251335144043,0.4286785117091293,0.42812250310952954,0.3873239436619718,0.00025
cv_fold1,42,6,0.6210570633411407,0.9078612923622131,0.4147988896302337,0.44249635505473595,0.3957746478873239,0.00025
cv_fold1,42,7,0.601439543068409,0.992576539516449,0.4301035411569921,0.4614088846055634,0.4183098591549296,0.000125
cv_fold1,1337,1,0.6916056126356125,0.7083255648612976,0.4201448093508291,0.49757003649063847,0.4126760563380282,0.0005
cv_fold1,1337,2,0.6797296181321144,0.7497044205665588,0.4617960313341736,0.4906013953756559,0.4070422535211268,0.0005
cv_fold1,1337,3,0.6682850867509842,0.81015944480896,0.4668001087305706,0.4103961252378481,0.35352112676056335,0.0005
cv_fold1,1337,4,0.654648020863533,0.8180108368396759,0.43183334568908,0.45356710406009837,0.4183098591549296,0.0005
cv_fold1,1337,5,0.6342410668730736,0.9271260797977448,0.4220475943361257,0.46551511107816246,0.4225352112676056,0.0005
cv_fold1,1337,6,0.5989673808217049,1.018792450428009,0.42404922529468453,0.45524748560555517,0.4183098591549296,0.00025
cv_fold1,1337,7,0.5726200938224792,1.047304093837738,0.42194874836286356,0.4682457310895297,0.44647887323943664,0.00025
cv_fold1,1337,8,0.5550309792160988,1.1200664937496185,0.436067248210476,0.5116144018583043,0.47746478873239434,0.00025
cv_fold1,1337,9,0.5304265543818474,1.1638047695159912,0.43130616716501513,0.5083154175006795,0.4788732394366197,0.000125
cv_fold1,2026,1,0.6889767870306969,0.7156070172786713,0.444839828337493,0.5,0.4042253521126761,0.0005
cv_fold1,2026,2,0.6794238090515137,0.7503422200679779,0.4397904465366842,0.49302724030279815,0.4112676056338028,0.0005
cv_fold1,2026,3,0.6671212986111641,0.8288084268569946,0.4623438027693346,0.42283836212222303,0.36901408450704226,0.0005
cv_fold1,2026,4,0.6506919860839844,0.8273171484470367,0.42225352344708855,0.4205319560794392,0.38028169014084506,0.0005
cv_fold1,2026,5,0.6249896138906479,0.9723442792892456,0.3982669006021367,0.44859597532145534,0.39436619718309857,0.0005
cv_fold1,2026,6,0.5855529084801674,1.0837141871452332,0.34425581337880246,0.4179248935346497,0.3591549295774648,0.00025
cv_fold1,2026,7,0.5652823895215988,1.126020908355713,0.35284717588817227,0.41860857818304625,0.3619718309859155,0.00025
cv_fold1,2026,8,0.5512631013989449,1.188619613647461,0.35820956993764463,0.4474757209578175,0.39436619718309857,0.00025
cv_fold1,2026,9,0.5353786200284958,1.2432891726493835,0.3461750726929762,0.44865775405474423,0.3957746478873239,0.000125
cv_fold2,42,1,0.6877649463713169,0.6793439785639445,0.7055861751298466,0.5,0.530239099859353,0.0005
cv_fold2,42,2,0.6778647229075432,0.6638192534446716,0.6733270858812878,0.5711415365555361,0.5928270042194093,0.0005
cv_fold2,42,3,0.656621802598238,0.6926082968711853,0.5930168840038755,0.5833518639114343,0.5836849507735584,0.0005
cv_fold2,42,4,0.6180377304553986,0.7799556652704874,0.5433039756031703,0.5531437125748503,0.549929676511955,0.00025
cv_fold2,42,5,0.5736657567322254,0.8861680428187052,0.46633126320303686,0.49204244031830235,0.49156118143459915,0.00025
cv_fold2,42,6,0.5333619304001331,0.8992310166358948,0.488212566908623,0.5207535856668626,0.5239099859353024,0.00025
cv_fold2,42,7,0.5047510918229818,1.0104165275891621,0.468273003065487,0.4965453707968678,0.5014064697609001,0.000125
cv_fold2,1337,1,0.6883836202323437,0.6756406823794047,0.6969297479311933,0.5,0.530239099859353,0.0005
cv_fold2,1337,2,0.678347036242485,0.6593698461850485,0.6779819009196462,0.5883968137994569,0.6075949367088608,0.0005
cv_fold2,1337,3,0.6575446464121342,0.6896005868911743,0.579551771787989,0.546051795613018,0.5471167369901547,0.0005
cv_fold2,1337,4,0.6159084998071194,0.8060986598332723,0.5467883860925364,0.5093691926491843,0.5098452883263009,0.00025
cv_fold2,1337,5,0.5760967172682285,0.8485092520713806,0.5268349243158246,0.5170845312028463,0.5147679324894515,0.00025
cv_fold2,1337,6,0.5384899117052555,0.8830275734265646,0.5429485855874459,0.5556115884940993,0.5562587904360057,0.00025
cv_fold2,1337,7,0.49718484841287136,0.9629587332407633,0.5085234041201417,0.5224670023348529,0.5267229254571026,0.000125
cv_fold2,2026,1,0.6872897632420063,0.6760248343149821,0.7149682730030655,0.500748502994012,0.5309423347398031,0.0005
cv_fold2,2026,2,0.6780551895499229,0.664011538028717,0.6682880922505123,0.6186526151940152,0.6336146272855133,0.0005
cv_fold2,2026,3,0.6555084623396397,0.6686839063962301,0.6380918534284217,0.6086957384964818,0.6082981715893109,0.0005
cv_fold2,2026,4,0.6157034672796726,0.7621828516324362,0.5689158817643228,0.5427103352975746,0.5414908579465542,0.00025
cv_fold2,2026,5,0.5770018845796585,0.859159012635549,0.5199137533950666,0.523163884432726,0.5232067510548524,0.00025
cv_fold2,2026,6,0.5493348091840744,0.8869029879570007,0.5143863466700551,0.5063692244158897,0.5042194092827004,0.00025
cv_fold2,2026,7,0.5180274024605751,0.8840491771697998,0.5419439635318223,0.5265192426817452,0.5253164556962026,0.000125
cv_fold3,42,1,0.6903183038036028,0.6975362420082092,0.5072696920441067,0.5239028247594781,0.5114754098360655,0.0005
cv_fold3,42,2,0.6792421862483025,0.7675598740577698,0.46328427711637304,0.4738742696481132,0.47353629976580797,0.0005
