tag,seed,epoch,train_loss,stop_loss,stop_auc,stop_bal_acc_0.5,stop_acc_0.5,lr
cv_fold1,42,1,0.689357104152441,0.6794338992663792,0.5759171975557653,0.5555215401224827,0.5369127516778524,0.00045
cv_fold1,42,2,0.6578679427504539,0.715648523398808,0.6033469380014549,0.561918962595516,0.5064317673378076,0.00045
cv_fold1,42,3,0.5835284054279327,0.8328008545296532,0.6364790233898245,0.58342522015586,0.5511744966442953,0.00045
cv_fold1,42,4,0.5047047581523657,0.96586332150868,0.6444305071475305,0.5811291784234389,0.5360738255033557,0.00045
cv_fold1,42,5,0.4369489308446646,1.1258795516831535,0.6189014354663267,0.5793468675624165,0.5201342281879194,0.00045
cv_fold1,42,6,0.38490229062736037,1.258459985256195,0.6201910117077809,0.563522466666757,0.49161073825503354,0.00045
cv_fold1,42,7,0.3516363363713026,1.2943316378763743,0.5815677291673157,0.5744361151786646,0.5243288590604027,0.000225
cv_fold1,42,8,0.2779180632904172,1.432137553180967,0.6102718066394213,0.5913946523223886,0.5436241610738255,0.000225
cv_fold1,42,9,0.25854264553636314,1.4381881654262543,0.6025914115847836,0.5892909633486719,0.5385906040268457,0.000225
cv_fold1,42,10,0.23272572550922632,1.5365570443017142,0.5960581907732988,0.5850256763840932,0.5444630872483222,0.0001125
cv_fold1,1337,1,0.6869476161897182,0.6841961784022195,0.5663251276368921,0.5552357201782108,0.5453020134228188,0.00045
cv_fold1,1337,2,0.6472159951925278,0.7462419697216579,0.6135812561718821,0.5758513302818781,0.5346756152125279,0.00045
cv_fold1,1337,3,0.5670220095664262,0.7780432658536094,0.6030768652460557,0.5431317196472087,0.5178970917225951,0.00045
cv_fold1,1337,4,0.48415253646671774,0.9971675021307809,0.6214247108274285,0.5544084001262484,0.5209731543624161,0.00045
cv_fold1,1337,5,0.4340598575770855,1.0313914205346788,0.6508221725837717,0.5850375291069008,0.5436241610738255,0.00045
cv_fold1,1337,6,0.3810106851160526,1.1013056635856628,0.5976241047807789,0.5533910978601433,0.5416666666666666,0.00045
cv_fold1,1337,7,0.3362388893961906,1.1676171230418342,0.5679243985928448,0.5406104761814455,0.5187360178970917,0.00045
cv_fold1,1337,8,0.3078872628509998,1.3201416156121664,0.5594725606080514,0.5415373591049908,0.5083892617449665,0.000225
cv_fold1,1337,9,0.2675637612119317,1.353385146175112,0.5581128839774216,0.5372321115320897,0.5131431767337807,0.000225
