seed,epoch,train_loss,val_loss,val_auc,val_acc_0.5,lr
42,1,0.7038934826850891,0.704316224370684,0.5007214627094613,0.5139348134152102,0.0007
42,2,0.6844069608326616,0.7001664383070809,0.4959466525380426,0.5077940481813887,0.0007
42,3,0.6636840084503437,0.7218994668551854,0.5037071763289985,0.5180286569044245,0.0007
42,4,0.6236379084915951,0.7245754684720721,0.5060154303624528,0.5068493150684932,0.0007
42,5,0.5828918198059345,0.7637673957007272,0.49868610741524566,0.4969296173830893,0.0007
42,6,0.540232763208192,0.8214118650981358,0.5053025003894301,0.5092111478507322,0.0007
42,7,0.489569248824284,0.9009061455726624,0.4971752673673432,0.5010234608723035,0.00035
42,8,0.4495522729281721,0.8927065985543388,0.499535958042749,0.49141867422453156,0.00035
42,9,0.4259734359280816,0.93501535483769,0.5067539089358586,0.4992914501653283,0.00035
42,10,0.40188928102624827,0.971139805657523,0.4991643375272725,0.5013383719099355,0.00035
42,11,0.36221844368967515,1.041034264223916,0.498303324889893,0.5074791371437569,0.000175
42,12,0.34167838507685167,1.0651130676269531,0.4934036986435926,0.49708707290190524,0.000175
42,13,0.3240308823256657,1.0761950271470206,0.5004857706698098,0.5044874822862542,0.000175
42,14,0.3092619951429038,1.1113474028451102,0.4968973085169608,0.507006770587309,0.000175
42,15,0.29017524164298486,1.1387719341686793,0.4964045429876285,0.5051173043615179,8.75e-05
42,16,0.27669372743573684,1.1639476248196192,0.49248900914094196,0.49960636120296015,8.75e-05
42,17,0.2669456359641305,1.1582701121057783,0.4981532578682248,0.4997638167217761,8.75e-05
1337,1,0.7040318805595924,0.7050226075308663,0.49541330690169394,0.507006770587309,0.0007
1337,2,0.6790847901640267,0.7059664045061383,0.4981275108321105,0.5044874822862542,0.0007
1337,3,0.6530202133902188,0.7157749448503766,0.5015669477508798,0.5052747598803338,0.0007
1337,4,0.6124370365307249,0.701966404914856,0.5235195454234272,0.5156668241221855,0.0007
1337,5,0.5788948412599235,0.7139840466635567,0.5121979932194511,0.5203904896866636,0.0007
1337,6,0.5417976071094645,0.7482776641845703,0.5169642210454983,0.5111006140765234,0.0007
1337,7,0.49487886654919594,0.776775768824986,0.5098873083482904,0.5128326247834987,0.0007
1337,8,0.4767374283280866,0.7586904764175415,0.5080895302331719,0.5128326247834987,0.0007
1337,9,0.4194426814029957,0.8641888328960964,0.515931115020295,0.5159817351598174,0.00035
1337,10,0.38717727208959646,0.9282835125923157,0.5066902606750983,0.5147220910092899,0.00035
1337,11,0.360515335510517,0.9734984466007778,0.5091034872103211,0.509526058888364,0.00035
1337,12,0.34795051504825725,0.9504629969596863,0.5142951612439142,0.5214926783183751,0.00035
2026,1,0.7043088962291849,0.6939306088856289,0.5167402367139837,0.5207054007242954,0.0007
2026,2,0.6818912707526108,0.701532883303506,0.5150542771333577,0.5140922689340262,0.0007
2026,3,0.6530139199618635,0.7058125138282776,0.5212393700459279,0.5148795465281059,0.0007
2026,4,0.6108648818114708,0.7166352272033691,0.5158462837452363,0.5010234608723035,0.0007
2026,5,0.575286826183056,0.7240340709686279,0.5137434603024359,0.5103133364824437,0.0007
2026,6,0.5180950637521415,0.7867201736995152,0.5101665570309253,0.5014958274287514,0.00035
2026,7,0.47970160739175205,0.830476667199816,0.5052200007342122,0.5014958274287514,0.00035
2026,8,0.45128394098117436,0.8412393246378217,0.5055887439315873,0.5057471264367817,0.00035
2026,9,0.41852912306785583,0.8591390081814357,0.5180009485227948,0.5169264682727129,0.00035
2026,10,0.38264811758337347,0.8826639311654227,0.5049026523912001,0.5054322153991497,0.000175
2026,11,0.3559491665198885,0.9077498912811279,0.5068227165256285,0.514407179971658,0.000175
