tag,seed,epoch,train_loss,stop_loss,stop_auc,stop_bal_acc_0.5,stop_acc_0.5,lr
cv_fold1,42,1,0.6927734613418579,0.6825185815493265,0.628562278527342,0.5,0.6104078762306611,0.0002
cv_fold1,42,2,0.6810986995697021,0.6845964392026266,0.6491249230564475,0.6177984993927698,0.6497890295358649,0.0002
cv_fold1,42,3,0.670457124710083,0.6805905103683472,0.6917225373904075,0.6104701459016121,0.6033755274261603,0.0002
cv_fold1,42,4,0.6533620916306973,0.6737645467122396,0.6760510073366718,0.6129281804721423,0.6047819971870605,0.0002
cv_fold1,42,5,0.6332431435585022,0.664105494817098,0.7150177178126402,0.6408025420486116,0.6722925457102672,0.0002
cv_fold1,42,6,0.6101018711924553,0.6488450964291891,0.7021078374286712,0.6395340132093363,0.6779184247538678,0.0002
cv_fold1,42,7,0.5819039717316628,0.6343987584114075,0.6637691527059175,0.5803498644129831,0.639943741209564,0.0002
cv_fold1,42,8,0.5515074618160725,0.6326184670130411,0.5946488878537324,0.574048811326091,0.6497890295358649,0.0001
cv_fold1,42,9,0.5261063817888498,0.6313532590866089,0.6037282270541849,0.5856069806518158,0.6694796061884669,0.0001
cv_fold1,42,10,0.5074907913804054,0.640828917423884,0.5859105957510522,0.5879111281172537,0.6722925457102672,0.0001
cv_fold1,42,11,0.49355889298021793,0.6451582411924998,0.6081951122128134,0.5879111281172537,0.6722925457102672,5e-05
cv_fold1,42,12,0.47696888633072376,0.6554646889368693,0.6010996689347685,0.5895622951637858,0.6751054852320675,5e-05
cv_fold1,42,13,0.47380988858640194,0.6666415929794312,0.5875492854647391,0.5884102214310669,0.6736990154711674,5e-05
cv_fold1,1337,1,0.692585151642561,0.6962955792744955,0.5339175497845581,0.50483704603304,0.4050632911392405,0.0002
cv_fold1,1337,2,0.6826893649995327,0.6992671887079874,0.5696318354988438,0.4597439651300138,0.39943741209563993,0.0002
cv_fold1,1337,3,0.670525535941124,0.7070045868555704,0.5746061321931824,0.4417682876108403,0.39662447257383965,0.0002
cv_fold1,1337,4,0.6560183204710484,0.7257355054219564,0.5700893377031726,0.47126470245720276,0.41350210970464135,0.0002
cv_fold1,1337,5,0.6374675408005714,0.7470167477925619,0.5523548886190088,0.47994476700660466,0.4177215189873418,0.0002
cv_fold1,1337,6,0.6174155846238136,0.7580104072888693,0.5558651782594952,0.5674607795837562,0.5428973277074542,0.0001
cv_fold1,1337,7,0.6001157872378826,0.7449848055839539,0.5688166497529489,0.5963749188973365,0.5949367088607594,0.0001
cv_fold1,1337,8,0.5886841230094433,0.7434049050013224,0.5513650202132792,0.568912309304763,0.5893108298171589,0.0001
cv_fold1,1337,9,0.5798149332404137,0.7514000733693441,0.5044752033805254,0.48326789665441117,0.5246132208157525,5e-05
